DATE,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
2001-12-24,0.1,24.88,2.76,0.52,17.82
2001-12-25,1.75,24.61,2.66,0.51,17.08
2001-12-26,14.85,24.85,2.42,0.47,15.65
2001-12-27,0.09,26.19,2.7,0.51,16.73
2001-12-28,0.3,26.37,2.52,0.48,16.03
2001-12-29,5.23,24.69,1.78,0.34,11.44
2001-12-30,21.47,24.57,1.33,0.26,8.73
2001-12-31,12.72,23.76,1.2,0.23,7.51
2002-01-01,7.41,24.54,1.92,0.38,11.81
2002-01-02,3.05,24.9,2.38,0.46,15.15
2002-01-03,0.69,25.44,1.87,0.37,11.77
2002-01-04,4.0,25.26,1.97,0.38,12.69
2002-01-05,3.13,25.23,1.64,0.32,10.95
2002-01-06,4.16,25.41,1.64,0.32,11.02
2002-01-07,2.26,24.08,1.8,0.35,11.68
2002-01-08,9.6,24.47,2.3,0.45,15.01
2002-01-09,16.68,24.38,1.74,0.34,11.01
2002-01-10,23.77,24.3,1.78,0.34,10.69
2002-01-11,3.96,24.6,2.44,0.47,15.07
2002-01-12,1.53,26.3,2.4,0.46,15.19
2002-01-13,12.57,25.79,2.09,0.41,13.67
2002-01-14,25.24,24.18,1.66,0.32,9.93
2002-01-15,10.16,26.0,2.04,0.4,13.06
2002-01-16,3.53,25.59,2.35,0.45,15.5
2002-01-17,8.86,24.76,1.96,0.38,12.41
2002-01-18,17.05,23.99,1.55,0.3,9.12
2002-01-19,8.79,24.94,2.28,0.44,14.15
2002-01-20,9.69,25.39,2.31,0.45,14.66
2002-01-21,9.63,24.43,1.83,0.35,11.17
2002-01-22,15.87,24.19,2.15,0.41,13.44
2002-01-23,10.53,24.34,2.25,0.44,14.05
2002-01-24,7.03,24.38,1.99,0.39,12.09
2002-01-25,12.8,24.19,1.79,0.35,11.26
2002-01-26,4.27,24.69,1.78,0.34,10.78
2002-01-27,34.56,24.56,2.16,0.42,13.23
2002-01-28,26.78,23.9,0.8,0.16,4.77
2002-01-29,63.4,23.9,0.99,0.19,5.73
2002-01-30,29.26,23.55,1.09,0.21,6.38
2002-01-31,32.91,24.01,1.74,0.34,10.88
2002-02-01,9.82,23.74,1.38,0.27,8.3
2002-02-02,4.66,23.35,1.83,0.36,11.58
2002-02-03,14.16,24.1,1.82,0.35,11.24
2002-02-04,15.34,23.06,0.88,0.17,5.37
2002-02-05,7.09,23.76,1.46,0.28,8.7
2002-02-06,13.24,24.05,1.46,0.29,9.02
2002-02-07,27.59,23.56,1.88,0.37,11.52
2002-02-08,17.56,24.19,1.8,0.35,11.23
2002-02-09,19.35,23.15,1.39,0.27,8.51
2002-02-10,8.45,23.62,1.68,0.33,10.88
2002-02-11,2.49,23.9,1.38,0.27,8.2
2002-02-12,25.68,23.74,1.11,0.22,6.89
2002-02-13,18.52,23.41,1.6,0.31,10.19
2002-02-14,13.72,23.4,0.83,0.16,5.22
2002-02-15,3.81,23.72,2.27,0.43,14.13
2002-02-16,7.63,23.35,1.49,0.29,9.38
2002-02-17,8.58,23.8,1.38,0.27,8.88
2002-02-18,9.09,23.49,1.45,0.28,8.77
2002-02-19,9.25,24.19,1.51,0.29,9.11
2002-02-20,37.35,23.5,1.55,0.3,9.07
2002-02-21,14.33,23.55,1.63,0.31,9.69
2002-02-22,4.75,23.19,1.35,0.27,8.15
2002-02-23,1.42,24.0,2.19,0.42,13.84
2002-02-24,6.23,23.93,2.23,0.43,13.65
2002-02-25,2.9,24.33,2.46,0.47,15.52
2002-02-26,0.17,24.65,2.89,0.55,18.2
2002-02-27,0.08,25.12,2.73,0.52,16.84
2002-02-28,2.62,25.38,2.46,0.47,15.55
2002-03-01,15.16,24.62,2.47,0.47,15.18
2002-03-02,10.08,24.19,2.62,0.5,16.32
2002-03-03,0.45,25.94,2.8,0.53,16.98
2002-03-04,0.09,25.44,2.45,0.47,14.95
2002-03-05,4.21,25.58,2.8,0.53,16.88
2002-03-06,0.14,25.64,2.84,0.54,17.33
2002-03-07,4.73,24.72,2.07,0.4,11.94
2002-03-08,9.04,23.73,1.69,0.33,10.3
2002-03-09,3.57,24.44,2.02,0.39,12.52
2002-03-10,4.42,24.52,1.81,0.35,11.52
2002-03-11,15.08,24.59,2.08,0.4,12.7
2002-03-12,6.2,24.63,1.98,0.38,11.98
2002-03-13,4.68,24.65,2.32,0.44,14.12
2002-03-14,1.35,25.56,2.65,0.5,16.64
2002-03-15,9.78,25.0,2.63,0.5,16.06
2002-03-16,7.67,25.04,2.45,0.47,15.27
2002-03-17,22.22,24.48,2.48,0.47,15.34
2002-03-18,14.95,25.2,2.01,0.38,12.55
2002-03-19,32.91,24.55,1.57,0.3,10.16
2002-03-20,6.47,25.66,2.52,0.48,15.84
2002-03-21,13.24,25.44,2.4,0.46,15.44
2002-03-22,17.53,26.76,2.86,0.55,18.09
2002-03-23,1.9,24.95,2.42,0.47,14.77
2002-03-24,0.8,26.32,2.91,0.55,17.41
2002-03-25,0.78,25.94,2.49,0.48,14.82
2002-03-26,5.01,25.08,2.14,0.41,13.31
2002-03-27,13.78,25.24,2.68,0.51,15.73
2002-03-28,11.01,24.84,2.4,0.46,14.93
2002-03-29,15.02,24.58,2.21,0.43,13.28
2002-03-30,6.25,24.45,2.35,0.45,14.62
2002-03-31,26.71,24.51,2.0,0.39,12.57
2002-04-01,9.0,23.34,1.99,0.38,12.15
2002-04-02,14.78,24.17,1.93,0.37,11.47
2002-04-03,4.73,24.19,2.23,0.43,13.45
2002-04-04,1.12,24.17,1.91,0.37,11.84
2002-04-05,8.25,25.01,2.32,0.45,14.38
2002-04-06,3.72,25.51,2.05,0.4,12.72
2002-04-07,16.37,23.95,2.51,0.48,15.7
2002-04-08,17.42,25.42,2.34,0.45,15.02
2002-04-09,14.18,25.33,1.66,0.32,10.45
2002-04-10,0.85,24.8,2.2,0.42,13.96
2002-04-11,0.0,25.44,2.7,0.51,16.61
2002-04-12,8.1,25.47,2.52,0.48,15.91
2002-04-13,10.17,25.56,2.01,0.38,12.24
2002-04-14,0.28,25.47,2.54,0.48,16.05
2002-04-15,1.49,25.08,2.55,0.48,16.12
2002-04-16,8.51,24.97,2.19,0.42,13.73
2002-04-17,4.29,24.55,1.85,0.36,11.43
2002-04-18,14.73,24.98,2.41,0.46,15.37
2002-04-19,8.46,25.55,2.29,0.45,15.06
2002-04-20,27.94,25.23,1.98,0.38,13.12
2002-04-21,13.51,24.73,2.08,0.41,13.45
2002-04-22,3.63,24.74,1.77,0.34,11.95
2002-04-23,12.85,24.62,2.16,0.42,14.48
2002-04-24,14.11,24.87,1.93,0.38,12.95
2002-04-25,12.71,24.79,1.98,0.38,13.37
2002-04-26,5.07,25.68,2.0,0.39,13.52
